plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
9648, 5289, 59.9503, -69.9855, -100, 1, 1, 3353.04545161, NOT,OBSERVED
9649, 5289, 59.9503, -69.9855, -100, 1, 1, 3353.04545161, NOT,OBSERVED
9650, 5289, 59.9503, -69.9855, -100, 1, 1, 3353.04545161, 58211,
9651, 5290, 97.6414, -70.0388, -100, 1, 1, 3339.32107009, 58211,
9652, 5290, 97.6414, -70.0388, -100, 1, 1, 3339.32107009, NOT,OBSERVED
9653, 5291, 0.0, 0.0, -100, 0, 1, 0.0, NOT,OBSERVED
9654, 5291, 0.0, 0.0, -200, 0, 1, 0.0, NOT,OBSERVED
9655, 5291, 0.0, 0.0, -300, 0, 1, 0.0, NOT,OBSERVED
9656, 5291, 0.0, 0.0, -400, 2, 1, 7100.7402325, 57830,57831,
9657, 5291, 0.0, 0.0, -500, 0, 1, 0.0, NOT,OBSERVED
9693, 5252, 138.3114, -48.2096, 111, 3, 3, 16443.3971, 58116,58150,58119,
9694, 5252, 138.3114, -48.2096, 211, 3, 3, 14593.5317, 58120,58117,58151,
9695, 5252, 138.3114, -48.2096, 321, 3, 3, 12400.9801, 58121,58178,58153,
9696, 5252, 138.3114, -48.2096, 421, 3, 3, 14537.369, 58153,58179,58182,
9697, 5252, 138.3114, -48.2096, 531, 3, 3, 11859.2484674, 58155,58180,58183,
9698, 5252, 138.3114, -48.2096, 631, 3, 3, 11407.6199427, 57850,58154,57829,
9699, 5253, 229.9305, -42.738, 110, 1, 3, 5683.8661, 57854,
9700, 5253, 229.9305, -42.738, 210, 2, 3, 6314.8627, 57849,57882,
9701, 5254, 182.0334, -74.6179, 110, 5, 3, 9738.62234061, 57881,58154,57943,57916,57913,
9702, 5254, 182.0334, -74.6179, 210, 4, 3, 10606.9401, 57944,58209,58155,57942,
9703, 5255, 149.1183, -39.5005, 110, 3, 3, 14284.2538, 58122,57851,58151,
9704, 5255, 149.1183, -39.5005, 210, 3, 3, 12880.1002, 58152,58155,58181,
9705, 5256, 122.5192, -55.6822, 110, 3, 3, 13491.5609, 58096,57882,57854,
9706, 5256, 122.5192, -55.6822, 210, 3, 3, 14883.0115, 58115,57851,58118,
9707, 5257, 126.9551, -17.4504, 100, 3, 3, 13700.4688, 58120,58117,58150,
9708, 5212, 103.9501, -29.3939, 100, 3, 3, 11748.7572, 58120,58117,58150,
9709, 5258, 97.2254, -16.1813, 100, 3, 3, 13281.7079, 58120,58117,58150,
9710, 5259, 157.0004, -50.6397, 110, 3, 3, 13602.737, 57915,57851,58119,
9711, 5260, 207.3688, -56.0367, 110, 3, 3, 13576.1578, 57945,57851,57853,
9712, 5260, 207.3688, -56.0367, 210, 3, 3, 11093.325534, 58210,58236,58213,
9713, 5261, 213.9209, -67.5671, 110, 3, 3, 15909.6239, 57852,57877,57917,
9714, 5262, 205.0701, -50.2668, 110, 3, 3, 12193.8246836, 57850,58211,57854,
9715, 5263, 214.1081, -48.6298, 100, 4, 3, 12119.6384365, 57940,57833,57852,57855,
9716, 5264, 236.0161, -54.9868, 110, 3, 3, 9265.722, 57850,57853,57917,
9717, 5264, 236.0161, -54.9868, 210, 0, 3, 0.0, NOT,OBSERVED
9718, 5265, 241.0415, -44.6195, 110, 3, 3, 12727.4097365, 57849,57855,57831,
9719, 5266, 182.2801, -50.1554, 110, 3, 3, 16235.6264, 58152,57850,57855,
9720, 5267, 168.4825, -73.464, 110, 4, 3, 13731.3335, 57882,57852,57917,58118,
9721, 5268, 230.2479, -49.9288, 110, 3, 3, 15886.6562, 57851,57877,57942,
9722, 5269, 245.5878, -41.2998, 110, 3, 3, 14213.4091, 57944,57915,57941,
9723, 5269, 245.5878, -41.2998, 210, 4, 3, 13589.6345, 57945,57852,57942,57918,
9724, 5269, 245.5878, -41.2998, 320, 3, 3, 11676.9236, 58358,57854,57943,
9731, 5293, 201.73592, -47.51123, -100, 2, 1, 15334.8774, 57829,57830,
9732, 5301, 283.75524, -30.45462, -100, 1, 1, 5388.5272, 57877,
9733, 5229, 78.28821, -40.06581, 110, 4, 3, 13277.0803, 58120,57973,58030,58117,
9734, 5229, 78.28821, -40.06581, 210, 3, 3, 10555.466, 58121,58118,58151,
9735, 5294, 81.06153, -24.36794, 110, 5, 3, 14379.7722, 58033,58025,58028,57974,58031,
9736, 5294, 81.06153, -24.36794, 210, 4, 3, 17442.245, 58057,58026,57972,58060,
9737, 5295, 138.6144, -65.05472, 110, 4, 3, 13261.5056, 57856,58090,57852,58095,
9738, 5295, 138.6144, -65.05472, 210, 3, 3, 15542.3618, 58122,58150,58118,
9739, 5296, 154.42839, -46.12459, 110, 3, 3, 15504.5713, 58091,58094,57854,
9740, 5296, 154.42839, -46.12459, 210, 3, 3, 13911.8923, 58121,58092,58095,
9741, 5297, 190.1829, -26.83075, 110, 3, 3, 10757.5287457, 57856,58153,58211,
9742, 5297, 190.1829, -26.83075, 210, 3, 3, 10318.1085894, 57851,58236,58214,
9743, 5298, 245.94395, -26.22634, 110, 2, 1, 11823.158, 57850,57854,
9744, 5298, 245.94395, -26.22634, 210, 1, 1, 4151.6395, 57944,
9745, 5298, 245.94395, -26.22634, 310, 0, 1, 0.0, NOT,OBSERVED
9746, 5299, 253.99394, -4.1099, 110, 1, 1, 5002.8868, 57971,
9747, 5299, 253.99394, -4.1099, 210, 1, 1, 5417.408, 57972,
9748, 5299, 253.99394, -4.1099, 310, 2, 1, 5655.894, 57973,57855,
9749, 5300, 251.93784, -2.15107, 110, 1, 1, 5293.7882, 57851,
9750, 5300, 251.93784, -2.15107, 210, 1, 1, 5176.6666, 57855,
9751, 5300, 251.93784, -2.15107, 310, 1, 1, 5189.4731, 57914,
9752, 5302, 161.00154, -59.87431, 100, 0, 1, 0.0, NOT,OBSERVED
9753, 5303, 198.50234, -62.88459, 100, 1, 2, 3480.4149, 57859,
9754, 5303, 198.50234, -62.88459, 100, 1, 2, 3480.4149, NOT,OBSERVED
9755, 5304, 199.4632, -62.85282, 100, 0, 2, 0.0, NOT,OBSERVED
9756, 5304, 199.4632, -62.85282, 100, 0, 2, 0.0, NOT,OBSERVED
9757, 5305, 272.63809, -24.21029, 100, 0, 1, 0.0, NOT,OBSERVED
9758, 5306, 170.68516, 2.00739, 100, 1, 1, 6487.6573, 57878,
9759, 5307, 173.49581, -0.93585, 100, 1, 1, 6469.0163, 57878,
9760, 5308, 178.50646, -1.8116, 100, 0, 1, 0.0, NOT,OBSERVED
9761, 5309, 252.81706, -24.97001, 100, 1, 1, 6633.4207, 57878,
9762, 5310, 243.27255, -25.50334, 100, 1, 1, 5977.3068, 57878,
9763, 5311, 243.31338, -19.83822, 100, 1, 1, 7225.4998, 57878,
9764, 5312, 177.73762, 6.33028, 100, 0, 1, 0.0, NOT,OBSERVED
9765, 5313, 171.21186, 4.26137, 100, 0, 1, 0.0, NOT,OBSERVED
9766, 5314, 171.07231, -1.52906, 100, 0, 1, 0.0, NOT,OBSERVED
9767, 5315, 247.88807, -18.74375, 100, 0, 1, 0.0, NOT,OBSERVED
9768, 5316, 246.58584, -24.93959, 100, 0, 1, 0.0, NOT,OBSERVED
9769, 5317, 245.54079, -22.16975, 100, 0, 1, 0.0, NOT,OBSERVED
9770, 5318, 288.68209, -16.53267, 100, 0, 1, 0.0, NOT,OBSERVED
9771, 5319, 217.80361, -62.54037, 100, 0, 1, 0.0, NOT,OBSERVED
9781, 5331, 239.92906, -22.68287, 100, 2, 2, 9285.7469, 58177,58261,
9782, 5332, 241.41994, -19.95871, 100, 2, 2, 7777.6723, 58176,58177,
9783, 5333, 243.44445, -23.05825, 100, 0, 2, 0.0, NOT,OBSERVED
9784, 5334, 242.73941, -18.77226, 100, 0, 2, 0.0, NOT,OBSERVED
9785, 5324, 263.98424, -45.02141, 110, 0, 3, 0.0, NOT,OBSERVED
9786, 5324, 263.98424, -45.02141, 210, 1, 3, 2165.0323, 57881,
9787, 5325, 264.75766, -53.82196, 110, 3, 3, 13844.9728, 57971,57877,57941,
9788, 5325, 264.75766, -53.82196, 210, 3, 3, 10967.2114, 57945,58356,57942,
9789, 5325, 264.75766, -53.82196, 310, 3, 3, 9123.2481, 58357,
9790, 5326, 267.35184, -36.77383, 110, 0, 3, 0.0, NOT,OBSERVED
9791, 5326, 267.35184, -36.77383, 210, 0, 3, 0.0, NOT,OBSERVED
9792, 5327, 278.95985, -24.26113, 110, 0, 1, 0.0, NOT,OBSERVED
9793, 5327, 278.95985, -24.26113, 210, 0, 1, 0.0, NOT,OBSERVED
9794, 5327, 278.95985, -24.26113, 310, 0, 1, 0.0, NOT,OBSERVED
9795, 5328, 288.07457, -60.20822, 110, 5, 3, 14865.5547, 57945,57914,57941,57942,57973,
9796, 5328, 288.07457, -60.20822, 210, 3, 3, 11320.4749, 57944,57881,57915,
9797, 5329, 294.71252, -30.93939, 110, 2, 1, 7252.4881, 57944,57914,
9798, 5329, 294.71252, -30.93939, 210, 1, 1, 5803.4298, 57916,
9799, 5329, 294.71252, -30.93939, 310, 2, 1, 5970.8539, 57945,57938,
9809, 5335, 259.00143, -24.40108, 110, 9, 9, 30772.4372441, 58208,58180,58183,58025,58028,57970,57973,57944,57916,
9810, 5336, 278.83027, -34.57542, 110, 7, 9, 31250.4336, 58350,58353,58324,58329,58296,57972,58356,
9811, 5337, 261.21259, -14.12207, 100, 3, 3, 10910.6059, 57970,58178,57973,
9812, 5338, 283.58947, -25.70741, 100, 4, 3, 11452.302, 58356,57972,58293,58054,
9813, 5339, 263.78476, -10.08623, 100, 3, 3, 14239.5574, 57970,57915,57974,
9814, 5340, 285.8607, -21.36227, 100, 3, 3, 12114.0357, 58028,57972,57974,
9815, 5341, 264.33615, -4.6181, 100, 2, 3, 5801.6641, 58354,58357,
9816, 5342, 289.96613, -17.64115, 100, 3, 3, 9751.5919, 58324,58294,57974,
9817, 5343, 282.37016, -14.28044, 110, 3, 3, 4982.5142, 58354,58349,
9818, 5344, 287.9277, -16.82108, 110, 3, 3, 11086.8964, 58296,58331,58348,
9819, 5345, 266.8265, -0.59348, 100, 3, 3, 10400.3381, 58354,58351,
9820, 5346, 291.9816, -13.33201, 100, 3, 3, 13240.1378, 57968,57972,58029,
9821, 5347, 270.43046, -2.4173, 100, 3, 3, 8222.9075, 57968,57913,58355,
9822, 5348, 180.43181, -56.21144, 110, 4, 3, 10583.5205016, 58185,58154,58209,58151,
9823, 5349, 174.23711, -67.88013, 110, 3, 3, 12054.7136, 57914,58115,58122,
9824, 5350, 221.06348, -73.06175, 110, 3, 3, 9660.0074, 58296,57914,58299,
9825, 5351, 225.67617, -44.99249, 110, 2, 3, 10437.1069, 57915,57918,
9826, 5352, 243.10736, -59.69686, 110, 3, 3, 11882.747, 57913,57974,58351,
9827, 5353, 252.35799, -63.5813, 110, 4, 3, 16159.3401, 57913,57971,57916,57974,
9828, 5354, 257.29468, -60.47323, 110, 3, 3, 10636.7219, 57914,58299,58324,
9829, 5355, 235.6625, -40.11571, 110, 1, 3, 5855.3018, 57916,
9830, 5356, 262.36727, -56.32082, 110, 3, 3, 10791.6469615, 58352,57915,58355,
9831, 5369, 240.29093, -36.88303, 110, 1, 3, 4988.9216, 57916,
9832, 5357, 263.91882, -51.19541, 110, 1, 3, 4469.0421, 58358,
9833, 5358, 266.79256, -52.14124, 100, 3, 3, 14566.0141, 57914,57917,57942,
9834, 5359, 269.6634, -53.00995, 100, 3, 3, 10704.8368, 57945,58356,
9835, 5360, 244.52318, -33.47128, 100, 0, 3, 0.0, NOT,OBSERVED
9836, 5361, 270.30586, -47.88549, 100, 5, 3, 15781.1885, 57913,57970,57916,57941,57945,
9837, 5362, 248.55509, -29.87246, 100, 3, 3, 11244.7577, 57970,58178,57973,
9838, 5370, 273.48528, -43.44287, 100, 4, 3, 14904.1931, 57944,57971,57915,57974,
9839, 5363, 266.3574, -28.9408, 100, 2, 2, 5028.1439, 58322,58323,
9840, 5363, 266.3574, -28.9408, 200, 1, 1, 1608.2664, 58322,
9841, 5363, 266.3574, -28.9408, 300, 1, 1, 3810.1253, 58323,
9842, 5363, 266.3574, -28.9408, 400, 0, 1, 0.0, NOT,OBSERVED
9843, 5364, 267.6317, -27.2567, 100, 1, 1, 3137.9323, 58323,
9844, 5364, 267.6317, -27.2567, 200, 0, 1, 0.0, NOT,OBSERVED
9845, 5365, 265.3143, -30.6902, 100, 2, 1, 4718.2936, 58322,58323,
9846, 5365, 265.3143, -30.6902, 200, 0, 1, 0.0, NOT,OBSERVED
9847, 5366, 268.6643, -25.4729, 100, 0, 1, 0.0, NOT,OBSERVED
9848, 5367, 264.0439, -32.3227, 100, 1, 1, 2304.1054, 58323,
9849, 5368, 243.0983, -53.4793, 100, 0, 2, 0.0, NOT,OBSERVED
9850, 5306, 170.68516, 2.00739, 200, 2, 2, 7261.61898032, 58243,58263,
9851, 5371, 239.67572, -20.82587, 100, 2, 2, 7295.0001, 58176,58243,
9852, 5372, 241.88487, -21.62161, 100, 1, 2, 5684.6923, 58243,
9853, 5373, 243.06181, -25.09276, 100, 1, 2, 3810.316, 58243,
9854, 5374, 239.55185, -24.34404, 100, 0, 2, 0.0, NOT,OBSERVED
9855, 5317, 245.54079, -22.16975, 200, 1, 2, 4189.139, 58243,
9856, 5375, 347.16362, -4.77905, 100, 2, 2, 10029.3534, 57973,57942,
9895, 5376, 269.73682, -30.76452, 100, 1, 1, 4289.2065, 57946,
9896, 5377, 268.53163, -30.22638, 100, 0, 1, 0.0, NOT,OBSERVED
9897, 5378, 264.39545, -27.76521, 100, 0, 1, 0.0, NOT,OBSERVED
9898, 5379, 263.01671, -27.23674, 100, 1, 1, 3281.0947, 57946,
9899, 5380, 270.68111, -29.53637, 100, 2, 1, 2252.3554, NOT,OBSERVED
9900, 5380, 270.68111, -29.53637, 100, 2, 1, 2252.3554, 58057,57946,
9901, 5381, 264.09201, -25.93539, 100, 0, 1, 0.0, NOT,OBSERVED
9902, 5382, 269.68576, -28.40046, 100, 1, 1, 1709.3604, NOT,OBSERVED
9903, 5382, 269.68576, -28.40046, 100, 1, 1, 1709.3604, 58055,
9904, 5383, 265.41505, -25.97216, 100, 1, 1, 2441.9412, 57946,
9905, 5384, 334.05053, -12.66286, 100, 1, 1, 8039.7873, 57971,
9906, 5385, 332.28341, -10.52563, 100, 2, 1, 6429.2877, 57972,57949,
9907, 5386, 338.40011, -13.42023, 100, 2, 1, 6179.5359, 57970,57949,
9908, 5387, 338.74746, -9.2412, 100, 1, 1, 7048.5577, 57948,
9909, 5388, 17.61543, 2.55496, 100, 0, 1, 0.0, NOT,OBSERVED
9910, 5389, 19.57504, 10.88592, 100, 1, 1, 5041.0872, 57947,
9911, 5390, 267.26667, -31.90138, 100, 0, 1, 0.0, NOT,OBSERVED
9912, 5391, 263.12945, -29.57531, 100, 1, 1, 2734.0526, 57946,
9913, 5392, 269.25466, -31.65018, 100, 0, 1, 0.0, NOT,OBSERVED
9914, 5393, 262.2062, -28.0503, 100, 1, 1, 4324.75852024, 57946,
9915, 5393, 262.2062, -28.0503, 100, 1, 1, 4324.75852024, NOT,OBSERVED
9916, 5394, 267.85267, -29.96302, 100, 1, 1, 5712.7818, 58348,
9917, 5395, 269.21975, -30.28666, 100, 0, 1, 0.0, NOT,OBSERVED
9918, 5396, 270.07546, -31.44379, 100, 1, 1, 4029.639, 58349,
9919, 5397, 264.75666, -27.72074, 100, 2, 1, 5238.857, 57948,58293,
9920, 5397, 264.75666, -27.72074, 100, 2, 1, 5238.857, NOT,OBSERVED
9921, 5398, 263.42761, -26.75406, 100, 2, 1, 3886.7887, 58264,
9922, 5398, 263.42761, -26.75406, 100, 2, 1, 3886.7887, 57949,
9923, 5399, 261.56325, -26.01918, 100, 2, 1, 4645.7628, 58264,57949,
9924, 5399, 261.56325, -26.01918, 100, 2, 1, 4645.7628, 57949,
9925, 5400, 268.45074, -28.6885, 100, 1, 1, 4412.6856, 57948,
9926, 5401, 268.45534, -29.38715, 100, 0, 1, 0.0, NOT,OBSERVED
9927, 5402, 270.68123, -30.04788, 100, 2, 1, 6139.7553, 57948,57949,
9928, 5403, 271.93294, -31.10135, 100, 1, 1, 5192.6582, 58264,
9929, 5403, 271.93294, -31.10135, 100, 1, 1, 5192.6582, NOT,OBSERVED
9930, 5404, 269.74069, -28.90115, 100, 1, 1, 3703.7393, 57948,
9931, 5405, 271.9741, -29.7303, 100, 1, 1, 3579.325, NOT,OBSERVED
9932, 5405, 271.9741, -29.7303, 100, 1, 1, 3579.325, 57949,
9933, 5406, 273.11111, -30.01389, 100, 2, 1, 6282.1392, 58030,
9934, 5406, 273.11111, -30.01389, 100, 2, 1, 6282.1392, 57948,
9935, 5407, 265.74965, -26.79905, 100, 1, 1, 3366.2873, 58292,
9936, 5408, 269.65287, -27.52078, 100, 0, 1, 0.0, NOT,OBSERVED
9937, 5409, 270.33359, -27.33001, 100, 0, 1, 0.0, NOT,OBSERVED
9938, 5410, 271.08098, -28.43041, 100, 1, 1, 4674.28709269, 58263,
9939, 5410, 271.08098, -28.43041, 100, 1, 1, 4674.28709269, NOT,OBSERVED
9940, 5411, 273.02056, -28.23309, 100, 1, 1, 1462.1694, NOT,OBSERVED
9941, 5411, 273.02056, -28.23309, 100, 1, 1, 1462.1694, 58059,
9942, 5412, 266.21926, -25.72696, 100, 1, 1, 4708.3196, NOT,OBSERVED
9943, 5413, 265.30811, -24.43102, 100, 1, 1, 3548.0345, NOT,OBSERVED
9944, 5414, 270.66259, -26.47925, 100, 1, 1, 4243.5189, 58262,
9945, 5414, 270.66259, -26.47925, 100, 1, 1, 4243.5189, NOT,OBSERVED
9946, 5415, 272.15803, -27.31396, 100, 0, 1, 0.0, NOT,OBSERVED
9947, 5415, 272.15803, -27.31396, 100, 0, 1, 0.0, NOT,OBSERVED
9948, 5416, 267.0558, -24.32706, 100, 1, 1, 4622.6393, NOT,OBSERVED
9949, 5417, 264.10876, -23.61515, 100, 1, 1, 5219.5298, 58262,
9950, 5418, 271.82117, -26.35718, 100, 2, 1, 3972.688, 57949,
9951, 5418, 271.82117, -26.35718, 100, 2, 1, 3972.688, 58261,
9952, 5419, 267.85791, -23.27007, 100, 1, 1, 4918.48453189, NOT,OBSERVED
9953, 5420, 266.00071, -23.04741, 100, 1, 1, 5160.9699, 58264,
9954, 5421, 264.96537, -21.82017, 100, 1, 1, 4891.3314, 58261,
9955, 5422, 266.54685, -21.59674, 100, 1, 1, 4974.67886449, 58263,
9956, 5423, 268.37288, -21.76855, 100, 2, 1, 4893.45777835, 58261,
9957, 5424, 266.2588, -35.53171, 100, 1, 1, 4829.9077, NOT,OBSERVED
9958, 5425, 266.70848, -33.8264, 100, 1, 1, 3879.473, 58292,
9959, 5426, 268.08342, -34.97442, 100, 2, 1, 3636.8998, 58262,
