plateid, locationid, ra, dec, apgver, vdone, vplan, SN, history
7927, 5078, 38.5349, 10.3532, 100, 3, 3, 11386.9542, 58056,57297,58038,
7928, 5079, 65.668, 41.1921, 100, 3, 3, 14253.9141, 57050,57083,57060,
7929, 5080, 86.6991, 52.1318, 100, 4, 3, 14484.1261, 57000,57049,56971,57004,56997,
7930, 5080, 86.6991, 52.1318, 200, 3, 3, 13426.2188, 57088,57057,57294,
7931, 5081, 78.7065, 48.9304, 100, 3, 3, 14330.5879, 56936,56971,56943,
7932, 5082, 67.7916, 30.6091, 100, 3, 3, 15956.2347, 56944,56993,57004,
7933, 5082, 67.7916, 30.6091, 200, 3, 3, 18323.3134, 57050,57027,57021,
7934, 5083, 98.8574, 34.6155, 100, 3, 3, 16512.7522, 56972,57006,56999,
7935, 5083, 98.8574, 34.6155, 200, 3, 3, 13376.3828, 57057,57051,57021,
7936, 5084, 88.7127, 25.5024, 100, 4, 3, 16817.4361, 57000,56945,57050,57004,
7937, 5084, 88.7127, 25.5024, 200, 3, 3, 12004.3066, 57051,57021,57006,
7938, 5085, 81.6765, 13.3175, 100, 3, 3, 18447.6189, 56937,56972,56945,
7939, 5085, 81.6765, 13.3175, 200, 3, 3, 16138.4433, 56947,56946,56990,
7940, 5086, 85.196, 15.4097, 100, 4, 3, 13944.4564, 57296,57058,57293,57030,
7941, 5087, 92.4558, 19.4154, 100, 3, 3, 10989.0207, 57050,57028,57007,
7942, 5087, 92.4558, 19.4154, 200, 3, 3, 13600.8655, 57056,57059,57029,
7943, 5088, 96.4058, 12.3734, 100, 3, 3, 11962.648, 56968,57002,56997,
7944, 5088, 96.4058, 12.3734, 200, 3, 3, 10867.5574, 57003,57020,57029,
7945, 5089, 43.5277, -17.1759, 100, 3, 3, 12010.875, 57409,57350,57679,
7946, 5094, 141.8131, 27.5981, 111, 6, 6, 23349.4274, 57057,56997,57062,57000,57004,57007,57109,
7947, 5094, 141.8131, 27.5981, 211, 7, 6, 32486.813, 56999,57002,57356,57006,57359,57143,57114,
7948, 5090, 99.6863, 6.1662, 100, 4, 3, 12795.4852, 56993,56947,56971,56943,
7949, 5091, 97.3917, -31.3333, 100, 0, 3, 0.0, NOT,OBSERVED
7950, 5067, 11.86667, 85.305, 200, 8, 1, 29277.3753, 58060,58085,57295,
7951, 5067, 11.86667, 85.305, 200, 8, 1, 29277.3753, NOT,OBSERVED
7952, 5092, 229.225, 1.065, 111, 3, 3, 16502.0379, 57058,57061,57087,
7953, 5092, 229.225, 1.065, 211, 3, 3, 12819.1202, 57091,57059,57062,
7954, 5092, 229.225, 1.065, 321, 3, 3, 16727.57, 57060,57093,57063,
7955, 5092, 229.225, 1.065, 421, 3, 3, 13528.0794, 57114,57117,57119,
7956, 5093, 251.809, -1.949, 110, 2, 1, 9178.5345, 57091,57087,
7957, 2000, 256.80273, 35.57907, 100, 3, 1, 6574.9738, 57169,57165,57167,
7958, 2001, 257.36264, 33.63531, 100, 4, 1, 10924.3581, 57576,57578,57579,57575,
7959, 2002, 256.70721, 30.95283, 100, 0, 1, 0.0, NOT,OBSERVED
7960, 2003, 258.80286, 31.87402, 100, 7, 1, 11122.9618, 57280,57283,57284,57454,57457,57458,57279,
7961, 2004, 259.82239, 30.14218, 100, 0, 1, 0.0, NOT,OBSERVED
7962, 2005, 259.82239, 27.41546, 100, 1, 1, 6967.6734, 57166,
7963, 2006, 313.69306, -1.5755e-12, 100, 0, 1, 0.0, NOT,OBSERVED
7964, 2007, 316.07307, 6.19776e-12, 100, 4, 1, 8809.7938, 57576,57908,57579,57580,
7965, 2008, 317.92307, -1.24296e-11, 100, 0, 1, 0.0, NOT,OBSERVED
7966, 2009, 320.59307, 3.77315e-11, 100, 0, 1, 0.0, NOT,OBSERVED
7967, 2010, 321.84726, 0.01065, 100, 0, 1, 0.0, NOT,OBSERVED
7968, 2011, 322.96314, 0.01065, 100, 6, 1, 8367.1888, 57284,57551,57552,57553,57554,57555,
7969, 2012, 330.16307, -3.03434e-09, 100, 0, 1, 0.0, NOT,OBSERVED
7970, 2013, 53.51307, 0.00085, 100, 0, 1, 0.0, NOT,OBSERVED
7971, 2014, 55.44307, -0.00701, 100, 0, 1, 0.0, NOT,OBSERVED
7972, 2015, 316.75449, 10.19603, 100, 5, 1, 8256.8314, 57568,57553,57570,57572,57573,
7973, 2016, 318.46449, 10.53804, 100, 0, 1, 0.0, NOT,OBSERVED
7974, 2017, 321.46449, 11.04137, 100, 0, 1, 0.0, NOT,OBSERVED
7975, 2018, 323.7345, 11.44049, 100, 0, 1, 0.0, NOT,OBSERVED
7977, 2021, 331.97449, 12.6171, 100, 0, 1, 0.0, NOT,OBSERVED
7978, 2022, 332.80908, 12.76601, 100, 0, 1, 0.0, NOT,OBSERVED
7979, 2023, 334.21235, 13.03442, 100, 3, 1, 5131.1127, 58009,58291,58292,
7980, 2024, 333.2645, 12.84436, 100, 0, 1, 0.0, NOT,OBSERVED
7981, 2025, 338.3045, 13.49766, 100, 0, 1, 0.0, NOT,OBSERVED
7982, 2026, 14.5845, 14.82853, 100, 0, 1, 0.0, NOT,OBSERVED
7983, 2027, 15.9745, 14.75376, 100, 0, 1, 0.0, NOT,OBSERVED
7984, 2028, 18.38709, 14.61215, 100, 0, 1, 0.0, NOT,OBSERVED
7985, 2029, 17.4645, 14.66371, 100, 0, 1, 0.0, NOT,OBSERVED
7986, 2030, 29.9445, 13.56537, 100, 0, 1, 0.0, NOT,OBSERVED
7987, 2031, 31.4845, 13.4006, 100, 0, 1, 0.0, NOT,OBSERVED
7988, 2032, 258.51837, 58.52812, 100, 0, 1, 0.0, NOT,OBSERVED
7989, 2033, 261.3258, 59.68344, 100, 0, 1, 0.0, NOT,OBSERVED
7990, 2034, 262.13684, 57.65287, 100, 1, 1, 5587.1541, 57168,
7991, 2035, 260.14044, 56.84764, 100, 0, 1, 0.0, NOT,OBSERVED
7992, 2037, 255.14943, 63.32446, 100, 3, 1, 6147.6054, 57194,57187,57191,
7993, 2038, 32.56179, 13.29345, 100, 0, 1, 0.0, NOT,OBSERVED
7994, 5033, 309.2214, 20.7593, 210, 3, 3, 12343.2192, 57289,57557,57295,
7995, 5039, 322.3797, 51.1611, 320, 4, 3, 14817.7185, 57289,57178,57202,57293,
7996, 5039, 322.3797, 51.1611, 420, 3, 3, 10920.8094, 57296,57536,57556,
7997, 5095, 349.8753, 52.3671, 110, 3, 3, 11663.2718, 57266,57021,57263,
7998, 5043, 351.9968, 48.6013, 210, 3, 3, 20217.6156, 57682,57707,57676,
7999, 5096, 344.3123, 59.7467, 110, 3, 3, 17152.8138, 56992,57680,57683,
8000, 5097, 7.536, 56.7504, 100, 3, 3, 15064.2652, 56968,57295,57271,
8034, 5097, 7.536, 56.7504, 200, 3, 3, 20154.2714, 57296,57346,57350,
8035, 5099, 15.2008, 62.8522, 100, 3, 3, 17388.6670036, 56993,57293,56990,
8036, 5099, 15.2008, 62.8522, 200, 3, 3, 15776.0754, 57297,57322,57294,
8037, 5056, 38.0122, 47.5098, 200, 3, 3, 15874.4984, 57296,57293,57327,
8038, 5100, 41.8621, 52.9838, 100, 3, 3, 15782.4697, 57264,57292,57269,
8039, 5101, 53.4661, 63.3537, 100, 3, 3, 14304.1987, 57058,57027,57030,
8040, 5102, 65.7393, 49.6694, 100, 3, 3, 11739.2784, 56977,57051,56991,
8041, 5102, 65.7393, 49.6694, 200, 3, 3, 16932.0706, 56992,57329,57295,
8042, 5103, 60.3243, 36.8567, 100, 3, 3, 14349.2086, 57296,57266,57293,
8043, 5104, 71.3521, 33.2303, 100, 3, 3, 11965.6671, 56993,57377,57359,
8044, 5105, 83.9397, 32.3278, 100, 3, 3, 16905.2223, 57027,57109,57059,
8045, 5105, 83.9397, 32.3278, 200, 3, 3, 11314.1681, 57029,57110,57117,
8046, 5106, 75.3517, 22.2382, 100, 3, 3, 9915.2101, 57056,57088,57060,
8047, 5106, 75.3517, 22.2382, 200, 3, 3, 14726.548, 57057,57108,57062,
8048, 5107, 100.0678, 23.1189, 100, 3, 3, 14085.4385, 57416,57297,57358,
8049, 5108, 104.0242, 24.8318, 100, 3, 3, 18044.4829, 57360,57466,57331,
8050, 5090, 99.6863, 6.1662, 200, 4, 3, 14505.6066, 56977,57331,57324,57357,
8051, 5109, 177.0831, 1.2264, 111, 6, 6, 27870.6875, 57057,57390,57358,
